token,token_en,neg_type,lemma
desprofissionalização,deprofessionalization,morph,desprofissionalização
desproporcionado,disproportionate,morph,desproporcionar
desproporcional,disproportionate,morph,desproporcional
desproporcionalidade,disproportionality,morph,desproporcionalidade
desproporcionalmente,disproportionately,morph,desproporcionalmente
desproporção,disproportion,morph,desproporção
despropositadamente,unreasonably,morph,despropositadamente
despropositado,unreasonable,morph,despropositar
desprotecção,unprotection,morph,desprotecção
desprotegido,unprotected,morph,desproteger
desproteção,lack of protection,morph,desproteção
desproveito,I waste,morph,desproveitar
desprovido,devoid,morph,desprover
desprovimento,deprivation,morph,desprovimentar
despudor,shamelessness,morph,despudor
desqualificado,disqualified,morph,desqualificar
desqualificar,disqualify,morph,desqualificar
desqualificação,disqualification,morph,desqualificação
desrazoável,unreasonable,morph,desrazoável
desrazão,unreason,morph,desrazãor
desrecomendar,disrecommend,morph,desrecomendar
desreconhecimento,misrecognition,morph,desreconhecimentor
desregradamente,disorderly,morph,desregradamente
desregrado,unruly,morph,desregrar
desregramento,lawlessness,morph,desregramento
desregulagem,deregulation,morph,desregulagir
desregulamentar,deregulate,morph,desregulamentar
desregulamentação,deregulation,morph,desregulamentação
desregular,deregulate,morph,desregular
desregulação,deregulation,morph,desregulação
desrespeitador,disrespectful,morph,desrespeitador
desrespeitar,disrespect,morph,desrespeitar
desrespeito,disrespect,morph,desrespeito
desrespeitosamente,disrespectfully,morph,desrespeitosamente
desrespeitoso,disrespectful,morph,desrespeitoso
desrespeituoso,disrespectful,morph,desrespeituoso
desresponsabilizar,disclaim,morph,desresponsabilizar
dessabor,unpleasantness,morph,dessabor
dessacralizante,desacralizing,morph,dessacralizante
dessacralizar,desacralize,morph,dessacralizar
dessacralização,desacralization,morph,dessacralização
dessaturado,desaturated,morph,dessaturar
dessazonalização,deseasonalization,morph,dessazonalização
dessemelhante,dissimilar,morph,dessemelhante
dessemelhança,dissimilarity,morph,dessemelhança
dessensibilizante,desensitizing,morph,dessensibilizante
dessensibilização,desensitization,morph,dessensibilização
dessentido,dissenting,morph,dessenter
dessimbolização,desymbolization,morph,dessimbolização
dessincretização,desyncretization,morph,dessincretização
dessincronia,dyssynchrony,morph,dessincronia
dessincronização,desynchronization,morph,dessincronização
dessintonia,dystune,morph,dessintonia
dessocialização,desocialization,morph,dessocialização
dessubjetivação,desubjectification,morph,dessubjetivação
destampado,uncovered,morph,destampar
destemor,fearlessness,morph,de estemor
destemperado,intemperate,morph,destemperar
destemperança,intemperance,morph,destemperança
destempo,timelessness,morph,destempo
desterritorialidade,deterritoriality,morph,desterritorialidade
destrato,mistreatment,morph,destrato
destravado,unlocked,morph,destravar
destribalização,detribalization,morph,destribalização
desucesso,failure,morph,desucesso
desumanidade,inhumanity,morph,desumanidade
desunidade,disunity,morph,desunidade
desunido,disunited,morph,desunir
desunificação,disunification,morph,desunificação
desuniforme,uneven,morph,desuniforme
desuniformidade,non-uniformity,morph,desuniformidade
desunião,disunity,morph,desunião
desusado,disused,morph,desusar
desusar,disuse,morph,desusar
desvalia,worthless,morph,desvaliar
desvalor,devaluation,morph,desvalor
desvalorizar,devalue,morph,desvalorizar
desvantagem,disadvantage,morph,desvantagem
desvantajoso,disadvantageous,morph,desvantajoso
desveladamente,covertly,morph,desveladamente
desvelado,unveiled,morph,desvelar
desvelar,unveil,morph,desvelar
desventura,misadventure,morph,desventura
desventuroso,unfortunate,morph,desventuroso
desvergonha,shame,morph,desvergonhar
desvinculado,detached,morph,desvincular
desvirtude,misvirtue,morph,desvirtude
desvirtuoso,deviant,morph,desvirtuoso
desvitalização,devitalization,morph,desvitalização
desvozeada,voiceless,morph,desvozear
desvínculo,detachment,morph,desvínculo
deságio,discount,morph,deságio
desânimo,discouragement,morph,desânimo
disabsorção,malabsorption,morph,disabsorção
discapacidade,disability,morph,discapacidade
discapacitado,disabled,morph,discapacitar
disconexo,disconnected,morph,disconexo
disconfiado,suspicious,morph,disconfiar
disconfiança,distrust,morph,disconfiança
disconfiar,distrust,morph,disconfiar
disconforme,nonconforming,morph,disconforme
discontinuar,discontinue,morph,discontinuar
discontinuidade,discontinuity,morph,discontinuidade
disdiadococinesia,dysdiadochokinesia,morph,disdiadococinesia
disfluente,disfluent,morph,disfluente
disfluência,disfluency,morph,disfluêncio
disfuncional,dysfunctional,morph,disfuncional
disfuncionalidade,dysfunctionality,morph,disfuncionalidade
disfuncionamento,dysfunction,morph,disfuncionamento
disfuncão,dysfunction,morph,disfuncão
disfunção,dysfunction,morph,disfunção
disgraça,disgrace,morph,disgraça
disjunto,disjunct,morph,disjunto
disjunção,disjunction,morph,disjunção
disordem,disorder,morph,disorder
disortográfico,dysortographic,morph,disortográfico
disparidade,disparity,morph,disparidade
dispraxia,dyspraxia,morph,dispraxia
disproporcional,disproportionate,morph,disproporcional
dissemelhante,dissimilar,morph,dissemelhante
dissemelhança,dissimilarity,morph,dissemelhança
dissimetria,dissymmetry,morph,dissimetr
dissimilar,dissimilar,morph,dissimilar
dissimilaridade,dissimilarity,morph,dissimilaridade
dissimilitude,dissimilitude,morph,dissimilitude
dissimétrico,dissymmetric,morph,dissimétrico
dissincronia,dyssynchrony,morph,dissincronia
dissinergia,dyssynergy,morph,dissinergia
dissintonia,dystony,morph,dissintonia
dissinérgico,dyssynergistic,morph,dissinérgico
dissocial,dissocial,morph,dissocial
dissonante,dissonant,morph,dissonante
dissonância,dissonance,morph,dissonância
dissímil,dissimilar,morph,dissímil
distensivo,distensive,morph,distensivo
ilegal,illegal,morph,ilegal
ilegalidade,illegality,morph,ilegalidade
ilegalmente,illegally,morph,ilegalmente
ilegibilidade,illegibility,morph,ilegibilidade
ilegitimar,illegitimate,morph,ilegitimar
ilegitimidade,illegitimacy,morph,ilegitimidade
ilegãtimo,illegitimate,morph,ilegãtimo
ilegítimo,illegitimate,morph,ilegítimo
ilegível,unreadable,morph,ilegível
ileso,unharmed,morph,ilender
iletrado,illiterate,morph,iletrar
iletramento,illiterate,morph,iletramento
iliberal,illiberal,morph,iliberal
ilicito,illicit,morph,ilicitar
ilicitude,illicitness,morph,ilicitude
ilimitabilidade,illimitability,morph,ilimitabilidade
ilimitadamente,unlimitedly,morph,ilimitadamente
ilimitado,unlimited,morph,ilimitar
ilimitação,unlimited,morph,ilimitação
iliquidez,illiquidity,morph,iliquidez
iliquidável,illiquidable,morph,iliquidável
iliteracia,illiteracy,morph,iliteracia
iliterato,illiterate,morph,iliterato
ilogicidade,illogicality,morph,ilogicidade
ilogico,illogical,morph,ilogico
ilã³gico,illogical,morph,ilã³gico
ilícito,illicit,morph,ilícito
ilíquido,illiquid,morph,ilíquer
ilógico,illogical,morph,ilógico
imacular,immaculate,morph,imacular
imarcável,unmarkable,morph,imarcável
imaterial,immaterial,morph,imaterial
imaterialidade,immateriality,morph,imaterialidade
imaterialismo,immaterialism,morph,imaterialismo
imaterialmente,immaterially,morph,imaterialmente
imaturidade,immaturity,morph,imaturidade
imaturo,immature,morph,ie maturo
imbatível,unbeatable,morph,imbatível
imbebível,undrinkable,morph,imbebível
imediato,immediate,morph,imediato
imemorável,immemorable,morph,imemorável
imensurabilidade,immeasurability,morph,imensurabilidade
imensurável,immeasurable,morph,imensurável
imerecedor,undeserving,morph,imerecedor
imerecedora,undeserving,morph,imerecedora
imerecidamente,undeservedly,morph,imerecidamente
imerecido,undeserved,morph,imerecer
imiscibilidade,immiscibility,morph,imiscibilidade
imiscíveis,immiscible,morph,imiscível
imiscível,immiscible,morph,imiscível
imobilidade,immobility,morph,imobilidade
imobilismo,real estate,morph,imobilismo
imoderadamente,immoderately,morph,imoderadamente
imoderado,immoderate,morph,imoderar
imoderação,immoderation,morph,imoderação
imodestamente,immodestly,morph,imodestamente
imodesto,immodest,morph,imodesto
imodificabilidade,immodifiability,morph,imodificabilidade
imodificável,immodifiable,morph,imodificável
imodéstia,immodesty,morph,imodéstir
imoral,immoral,morph,imoral
imoralidade,immorality,morph,imoralidade
imoralista,immoralist,morph,imoralisto
imoralmente,immorally,morph,imoralmente
imortal,immortal,morph,imortal
imortalidade,immortality,morph,imortalidade
imortalista,immortalist,morph,imortalisto
imortalmente,immortally,morph,imortalmente
impaciente,impatient,morph,impaciente
impacientemente,impatiently,morph,impacientemente
impaciência,impatience,morph,impaciência
impagar,pay,morph,impagar
impagável,priceless,morph,impagável
impalatável,unpalatable,morph,impalatável
impalpável,impalpable,morph,impalpável
imparcial,impartial,morph,imparcial
imparcialidade,impartiality,morph,imparcialidade
imparcialismo,impartialism,morph,imparcialismo
imparidade,impairment,morph,imparidade
impartilhável,shareable,morph,impartilhável
impasse,impasse,morph,impar
impassibilidade,impassivity,morph,impassibilidade
impassivo,impassive,morph,impassivo
impassável,impassive,morph,impassável
impassível,impassive,morph,impassível
impenetrabilidade,impenetrability,morph,impenetrabilidade
impenetrável,impenetrable,morph,impenetrável
impenhorabilidade,unseizability,morph,impenhorabilidader
impenhorável,unseizable,morph,impenhorável
impenitente,unrepentant,morph,impenitente
impenitência,impenitence,morph,impenitência
impensadamente,thoughtlessly,morph,impensadamente
impensável,unthinkable,morph,impensável
impercebível,imperceptible,morph,impercebível
imperceptibilidade,imperceptibility,morph,imperceptibilidade
imperceptível,imperceptible,morph,imperceptível
imperdoável,unforgivable,morph,imperdoável
imperdível,unmissable,morph,imperdível
imperecibilidade,imperishability,morph,imperecibilidade
imperecível,imperishable,morph,imperecível
imperfectivo,imperfective,morph,imperfectivo
imperfeitamente,imperfectly,morph,imperfeitamente
imperfeito,imperfect,morph,imperfeito
imperfeição,imperfection,morph,imperfeição
imperfurado,imperforate,morph,imperfurar
imperfuração,imperforation,morph,imperfuração
imperito,imperito,morph,imperito
impermanente,impermanent,morph,impermanentir
impermanência,impermanence,morph,Impermanência
impermeabilidade,impermeability,morph,impermeabilidade
impermeabilizar,waterproof,morph,impermeabilizar
impermeabilização,waterproofing,morph,impermeabilização
impermeável,waterproof,morph,impermeável
impersonalidade,impersonality,morph,impersonalidade
impertinente,naughty,morph,impertinente
impertinentemente,impertinently,morph,impertinentemente
impertinência,impertinence,morph,impertinência
imperturbado,undisturbed,morph,imperturbar
imperícia,malpractice,morph,imperícia
impessoal,impersonal,morph,impessoal
impessoalidade,impersonality,morph,impessoalidade
impessoalismo,impersonalism,morph,impessoalismo
impessoalizar,impersonalize,morph,impessoalizar
impessoalização,impersonalization,morph,impessoalização
impessoalmente,impersonally,morph,impessoalmente
impiedade,impiety,morph,impiedade
impiedosamente,mercilessly,morph,impiedosamente
impiedoso,merciless,morph,impiedoso
implausibilidade,implausibility,morph,implausibilidade
implausível,implausible,morph,implausível
impolidez,impoliteness,morph,impolidez
impolido,impolite,morph,impoler
impoluto,immaculate,morph,Impoluto
impolítico,impolitic,morph,impolítico
imponderabilidade,weightlessness,morph,imponderabilidade
imponderado,thoughtless,morph,imponderar
imponderável,imponderable,morph,imponderável
impontual,unpunctual,morph,impontual
impontualidade,unpunctuality,morph,impontualidade
impopular,unpopular,morph,impopular
impopularidade,unpopularity,morph,impopularidade
impossibilidade,impossibility,morph,impossibilidade
impossibilitar,make impossible,morph,impossibilitar
impossivél,impossible,morph,impossivél
impossãvel,impossible,morph,impossãvel
impossível,impossible,morph,impossível
impotente,powerless,morph,impotente
impotentemente,helplessly,morph,impotentemente
impotência,impotence,morph,impotêncio
impraticabilidade,impracticality,morph,impraticabilidade
impraticável,impractical,morph,impraticável
imprecedente,unprecedented,morph,imprecedente
imprecisamente,inaccurately,morph,imprecisamente
impreciso,inaccurate,morph,impreciso
imprecisão,inaccuracy,morph,imprecisão
impredizível,unpredictable,morph,impredizível
impreenchível,impenetrable,morph,impreenchível
impremeditado,unpremeditated,morph,impremeditar
impreparado,unprepared,morph,impreparar
impreparação,unpreparedness,morph,impreparação
imprescindibilidade,indispensability,morph,imprescindibilidade
imprescindir,essential,morph,imprescindir
imprescindível,essential,morph,imprescindível
imprescritibilidade,imprescriptibility,morph,Imprescritibilidade
imprescrito,imprescript,morph,imprescrito
imprescritível,imprescriptible,morph,imprescritível
imprestabilidade,worthlessness,morph,imprestabilidade
imprestável,worthless,morph,imprestável
imprevidente,improvident,morph,imprevidente
imprevidência,improvidence,morph,imprevidência
imprevisibilidade,unpredictability,morph,imprevisibilidade
imprevisão,unpredictability,morph,imprevisão
imprevisãvel,unpredictable,morph,imprevisãvel
imprevisível,unpredictable,morph,imprevisível
imprevísivel,unpredictable,morph,imprevísivel
improbabilidade,improbability,morph,improbabilidade
improbabilíssimo,improbable,morph,improbabilíssimo
improbidade,impropriety,morph,improbidade
improbo,unrighteous,morph,improbo
improcedente,unfounded,morph,improcedente
improceder,dismiss,morph,improceder
improcedência,unfounded,morph,improcedêncer
improdutivamente,unproductively,morph,improdutivamente
improdutividade,unproductivity,morph,improdutividade
improdutivo,unproductive,morph,improdutivo
improfícuo,unprofitable,morph,improfícuo
impronto,ready,morph,impronto
impronunciável,unpronounceable,morph,impronunciável
impropria,inappropriate,morph,impropria
impropriamente,improperly,morph,impropriamente
impropriedade,impropriety,morph,impropriedade
improrrogvel,non-extendable,morph,improrrogvel
improrrogável,non-extendable,morph,improrrogável
improvavél,unlikely,morph,improvavél
improvido,improvised,morph,improver
improvimento,improvisation,morph,improvimento
improvisar,improvise,morph,improvisar
improvável,unlikely,morph,improvável
imprudente,reckless,morph,imprudente
imprudentemente,recklessly,morph,imprudentemente
imprudãªncia,recklessness,morph,imprudãªncia
imprudência,recklessness,morph,imprudência
imprático,impractical,morph,imprático
imprã³prio,inappropriate,morph,imprã³prio
imprópio,inappropriate,morph,imprópio
impróprio,improper,morph,impróprio
impróvido,inappropriate,morph,impróvido
impublicável,unpublishable,morph,impublicável
impudente,impudent,morph,impudente
impudicamente,shamelessly,morph,impudicamente
impudico,impudent,morph,impudico
impudicícia,impudence,morph,impudicícia
impudor,shamelessness,morph,impudor
impunibilidade,impunity,morph,impunibilidade
impunir,impunish,morph,impunir
impunível,unpunishable,morph,impunível
impureza,impurity,morph,impurezar
impuro,unclean,morph,impuro
imputrescível,imputrescible,morph,imputrescível
impávido,undaunted,morph,impávido
impúbere,impubescent,morph,impúberir
imutabilidade,immutability,morph,imutabilidade
imutável,immutable,morph,imutável
imã³vei,imá³vei,morph,imã³vei
imã³vel,property,morph,imã³vel
imóvel,property,morph,imóvel
inabalado,unshaken,morph,inabalar
inabalável,unshakable,morph,inabalável
inabarcável,unstoppable,morph,inabarcável
inabilidade,disability,morph,inabilidade
inabordável,unapproachable,morph,inabordável
inabsorvível,nonabsorbable,morph,inabsorvível
inacabado,unfinished,morph,inacabar
inaceitabilidade,unacceptability,morph,inaceitabilidade
inaceitação,unacceptance,morph,inaceitação
inaceitável,unacceptable,morph,inaceitável
inacessibilidade,inaccessibility,morph,inacessibilidade
inacessível,inaccessible,morph,inacessível
inacolhível,unwelcome,morph,inacolhível
inacreditável,unbelievable,morph,inacreditável
inacumulável,non-accumulating,morph,inacumulável
inacurado,inaccurate,morph,inacurar
inacurácia,inaccuracy,morph,inacurácia
inacusativo,unaccusative,morph,inacusativo
inacção,inaction,morph,inacção
inadaptabilidade,inadaptability,morph,inadaptabilidade
inadaptação,maladjustment,morph,inadaptação
inadaptável,unadaptable,morph,inadaptável
inadequabilidade,unsuitability,morph,inadequabilidade
inadequadamente,inappropriately,morph,inadequadamente
inadequado,inappropriate,morph,inadequar
inadequar,inappropriate,morph,inadequar
inadequação,inadequacy,morph,inadequação
inadimplemento,default,morph,inadimplemento
inadimplente,defaulter,morph,inadimplente
inadimplir,default,morph,inadimplir
inadimplência,default,morph,inadimplência
inadiável,unpostponable,morph,inadiável
inadministrável,unmanageable,morph,inadministrável
inadmissibilidade,inadmissibility,morph,inadmissibilidade
inadmissão,inadmission,morph,inadmissão
inadmissãvel,unacceptable,morph,inadmissãvel
inadmissível,inadmissible,morph,inadmissível
inadmitido,inadmissible,morph,inadmiter
inadmitir,disallow,morph,inadmitir
inadvertido,inadvertent,morph,inadverter
inafastabilidade,indefeasibility,morph,inafastabilidade
inafetado,unaffected,morph,inafetar
inafiançável,non-bailable,morph,inafiançável
inalcançado,unreached,morph,inalcançar
inalcançável,unattainable,morph,inalcançável
inalienabilidade,inalienability,morph,inalienabilidade
inalienável,inalienable,morph,inalienável
inalterabilidade,inalterability,morph,inalterabilidade
inalteração,unchanged,morph,inalteração
inalterável,unalterable,morph,inalterável
inamistoso,unfriendly,morph,inamistoso
inanalisável,unanalyzable,morph,inanalisável
inanimado,inanimate,morph,inanimar
inapagável,inerasable,morph,inapagável
inaparente,inapparent,morph,inaparente
inapelável,unappealable,morph,inapelável
inapercebido,unnoticed,morph,inapercebir
inapetência,inappetence,morph,inapetência
inaplicabilidade,inapplicability,morph,inaplicabilidade
inaplicado,unapplied,morph,inaplicar
inaplicação,inapplication,morph,inaplicação
inaplicável,inapplicable,morph,inaplicável
inapreciável,inappreciable,morph,inapreciável
inapreensível,incomprehensible,morph,inapreensível
inapresentável,unpresentable,morph,inapresentável
inapropriadamente,inappropriately,morph,inapropriadamente
inapropriado,inappropriate,morph,inapropriar
inapropriável,inappropriate,morph,inapropriável
inaproveitável,unusable,morph,inaproveitável
inaptidão,disability,morph,inaptidãor
inapto,unfit,morph,inapto
inarmonia,inharmony,morph,Inarmonia
inarticulado,inarticulate,morph,inarticular
inarticulável,inarticulable,morph,inarticulável
inassiduidade,non-attendance,morph,inassiduidade
inassimilável,inassimilable,morph,inassimilável
inassistível,unwatchable,morph,inassistível
inatacável,unassailable,morph,inatacável
inatenção,inattention,morph,inatenção
inatingível,unattainable,morph,inatingível
inativar,inactivate,morph,inativar
inativação,inactivation,morph,inativação
inatividade,inactivity,morph,inatividade
inativo,inactive,morph,inativo
inatual,not current,morph,inatual
inatualidade,currentness,morph,inatualidade
inauditar,unheard,morph,inauditar
inauditável,inaudible,morph,inauditável
inaudível,inaudible,morph,inaudível
inauferível,inauferable,morph,inauferível
inauspicioso,inauspicious,morph,inauspicioso
inautenticidade,inauthenticity,morph,inautenticidade
inautêntico,inauthentic,morph,inautêntico
inavaliável,inevaluable,morph,inavaliável
inação,inaction,morph,inação
incabível,impossible,morph,incabível
incalculável,incalculable,morph,incalculável
incancelável,incancellable,morph,incancelável
incapacidade,inability,morph,incapacidade
incapacitante,disabling,morph,incapacitante
incapacitar,disable,morph,incapacitar
incapacitação,incapacitation,morph,incapacitação
incapaz,unable,morph,incapaz
incapturável,uncaptureable,morph,incapturável
incaracterístico,uncharacteristic,morph,incaracterístico
incatalogável,uncatalogable,morph,incatalogável
incausalidade,incausality,morph,incausalidade
incauto,unwary,morph,incauto
incensurável,blameless,morph,incensurável
incertamente,uncertainly,morph,incertamente
incerteza,uncertainty,morph,incertezar
incerto,uncertain,morph,incerto
incessante,incessant,morph,incessante
incindibilidade,indispensability,morph,incindibilidade
incindível,indispensable,morph,incindível
incircunciso,uncircumcised,morph,incircunciso
incircuncisão,uncircumcision,morph,incircuncisão
incircunscrito,uncircumscribed,morph,incircunscrito
incivil,uncivil,morph,incivil
incivilidade,incivility,morph,incivilidade
incivilizado,uncivilized,morph,incivilizar
incivilização,uncivilization,morph,incivilização
inclassificável,unclassifiable,morph,inclassificável
inclemente,inclement,morph,inclemente
inclemência,inclemency,morph,inclemência
incoagulabilidade,incoagulability,morph,incoagulabilidade
incoagulável,incoagulable,morph,incoagulável
incobrável,uncollectible,morph,incobrável
incoercível,incoercible,morph,incoercível
incoerencia,incoherence,morph,incoerencer
incoerente,inconsistent,morph,incoerente
incoerentemente,incoherently,morph,incoerentemente
incoerãªncia,inconsistency,morph,incoerãªncia
incoerência,incoherence,morph,incoerência
incoeso,incohesive,morph,incoeso
incogitável,unthinkable,morph,incogitável
incogniscível,unknowable,morph,incogniscível
incognoscibilidade,unknowability,morph,incognoscibilidade
incognoscível,unknowable,morph,incognoscível
incoherência,incoherence,morph,incoherêncio
incoincidência,incoincidence,morph,incoincidência
incombatível,unbeatable,morph,incombatível
incombustibilidade,incombustibility,morph,incombustibilidade
incombustível,incombustible,morph,incombustível
incomensurabilidade,incommensurability,morph,incomensurabilidade
incomensurável,immeasurable,morph,incomensurável
incomestível,inedible,morph,incomestível
incomodidade,inconvenience,morph,incomodidade
incomparabilidade,incomparability,morph,incomparabilidade
incompartilhável,unsharable,morph,incompartilhável
incomparável,incomparable,morph,incomparável
incompassivo,incompassionate,morph,incompassivo
incompatibilidade,incompatibility,morph,incompatibilidade
incompatibilismo,incompatibilism,morph,incompatibilismo
incompatibilista,incompatibilist,morph,incompatibilista
incompatibilizar,incompatible,morph,incompatibilizar
incompatibilização,incompatibility,morph,incompatibilização
incompatãvel,incompatible,morph,incompatãvel
incompatível,incompatible,morph,incompatível
incompensável,incompensable,morph,incompensável
incompetencia,incompetence,morph,incompetencia
incompetente,incompetent,morph,incompetente
incompetentemente,incompetently,morph,incompetentemente
incompetãªncia,incompetence,morph,incompetãªncia
incompetência,incompetence,morph,incompetência
incomplacente,incomplacent,morph,incomplacente
incompletamente,incompletely,morph,incompletamente
incompleto,incomplete,morph,incompleto
incompletude,incompleteness,morph,incompletude
incomportável,unbearable,morph,incomportável
incompossível,incompossible,morph,incompossível
incompreender,misunderstand,morph,incompreender
incompreensibilidade,incomprehensibility,morph,incompreensibilidade
incompreensivo,incomprehensible,morph,incompreensivo
incompreensão,misunderstanding,morph,incompreensão
incompreensãvel,incomprehensible,morph,incompreensãvel
incompreensã£o,misunderstanding,morph,incompreensã£o
incompreensível,incomprehensible,morph,incompreensível
incompreenção,misunderstanding,morph,incompreenção
incomprensível,incomprehensible,morph,incomprensível
incompressibilidade,incompressibility,morph,incompressibilidade
incompressível,incompressible,morph,incompressível
incomprimível,incompressible,morph,incomprimível
incomprovável,unprovable,morph,incomprovável
incomprável,unpurchasable,morph,incomprável
incomum,unusual,morph,incomum
incomunicabilidade,incommunicability,morph,incomunicabilidade
incomunicado,incommunicado,morph,incomunicar
incomunicante,incommunicado,morph,incomunicante
incomunicação,incommunication,morph,incomunicação
incomunicável,incommunicable,morph,incomunicável
incomível,inedible,morph,incomível
inconcebível,inconceivable,morph,inconcebível
inconciliação,inconciliation,morph,inconciliação
inconciliável,irreconcilable,morph,inconciliável
inconcludente,inconclusive,morph,inconcludente
inconclusivamente,inconclusively,morph,inconclusivamente
inconclusividade,inconclusiveness,morph,inconclusividade
inconclusivo,inconclusive,morph,inconclusivo
inconcluso,unfinished,morph,inconcluso
inconclusão,inconclusiveness,morph,inconclusão
inconcretizável,unrealizable,morph,inconcretizável
inconcreto,inconcrete,morph,inconcreto
incondicional,unconditional,morph,incondicional
incondicionalidade,unconditionality,morph,incondicionalidade
incondicionalismo,unconditionalism,morph,incondicionalismo
incondicionalmente,unconditionally,morph,incondicionalmente
incondizente,inconsistent,morph,incondizente
inconexo,inconnected,morph,inconexo
inconfessadamente,unapologetically,morph,inconfessadamente
inconfesso,unconfessed,morph,Inconfesso
inconfessável,unconfessable,morph,inconfessável
inconfiabilidade,unreliability,morph,inconfiabilidade
inconfiável,unreliable,morph,inconfiável
inconformar,disagree,morph,inconformar
inconformação,nonconformity,morph,inconformação
inconforme,nonconforming,morph,inconforme
inconformidade,nonconformity,morph,inconformidade
inconformismo,nonconformity,morph,inconformismo
inconformista,nonconformist,morph,inconformista
inconfortável,uncomfortable,morph,inconfortável
inconfundível,unmistakable,morph,inconfundível
incongruencia,incongruity,morph,incongruencia
incongruente,incongruous,morph,incongruente
incongruentemente,incongruously,morph,incongruentemente
incongruência,incongruity,morph,incongruência
inconquistável,unconquerable,morph,inconquistável
inconsciente,unconscious,morph,inconsciente
inconscientemente,unconsciously,morph,inconscientemente
inconsciência,unconsciousness,morph,inconsciêncer
inconsequencia,inconsequence,morph,inconsequencia
inconsequente,inconsequential,morph,inconsequente
inconsequentemente,inconsequentially,morph,inconsequentemente
inconseqüente,inconsequential,morph,inconseqüente
inconseqüentemente,recklessly,morph,inconseqüentemente
inconseqüência,inconsequence,morph,inconseqüência
inconsideradamente,inconsiderately,morph,inconsideradamente
inconsiderado,inconsiderate,morph,inconsiderar
inconsideração,inconsiderate,morph,inconsideração
inconsistencia,inconsistency,morph,inconsistencia
inconsistente,inconsistent,morph,inconsistente
inconsistentemente,inconsistently,morph,inconsistentemente
inconsistãªncia,inconsistency,morph,inconsistãªncia
inconsistência,inconsistency,morph,inconsistência
inconspícuo,inconspicuous,morph,inconspícuo
inconstancia,inconstancy,morph,inconstancia
inconstante,fickle,morph,inconstante
inconstantemente,ficklely,morph,inconstantemente
inconstitucional,unconstitutional,morph,inconstitucional
inconstitucionalidade,unconstitutionality,morph,inconstitucionalidade
inconstitucionalmente,unconstitutionally,morph,inconstitucionalmente
inconstância,inconstancy,morph,inconstância
inconsumível,inconsumable,morph,inconsumível
incontentar,discontent,morph,incontentar
incontestabilidade,incontestability,morph,incontestabilidade
incontestável,indisputable,morph,incontestável
incontidamente,uncontrollably,morph,incontidamente
incontido,unrestrained,morph,incontir
incontinente,incontinent,morph,incontinente
incontinência,incontinence,morph,incontinêncer
incontornável,unavoidable,morph,incontornável
incontrastável,incontrovertible,morph,incontrastável
incontrolabilidade,uncontrollability,morph,incontrolabilidade
incontroladamente,uncontrollably,morph,incontroladamente
incontrolável,uncontrollable,morph,incontrolável
incontroversamente,uncontroversially,morph,incontroversamente
incontroverso,uncontroversial,morph,incontroverso
incontrovertido,uncontroversial,morph,incontroverter
incontável,countless,morph,incontável
inconvencional,unconventional,morph,inconvencional
inconveniente,inconvenient,morph,inconveniente
inconvenientemente,inconveniently,morph,inconvenientemente
inconveniência,inconvenience,morph,inconveniência
inconversibilidade,inconvertibility,morph,inconversibilidade
inconverso,unconverted,morph,inconverso
inconversível,inconvertible,morph,inconversível
inconvertibilidade,inconvertibility,morph,inconvertibilidade
inconvertível,inconvertible,morph,inconvertível
inconvincente,unconvincing,morph,inconvincente
incoordenada,uncoordinated,morph,incoordenar
incoordenação,incoordination,morph,incoordenação
incopiável,incopiable,morph,incopiável
incorporal,incorporal,morph,incorporal
incorporeidade,incorporeality,morph,incorporeidade
incorpóreo,incorporeal,morph,incorpóreo
incorrecção,incorrectness,morph,incorrecção
incorretamente,incorrectly,morph,incorretamente
incorreto,incorrect,morph,incorreto
incorreção,incorrectness,morph,incorreção
incorrigível,incorrigible,morph,incorrigível
incorruptibilidade,incorruptibility,morph,incorruptibilidade
incorrupto,incorrupt,morph,incorrupto
incorruptível,incorruptible,morph,incorruptível
incorrupção,incorruption,morph,incorrupção
incredibilidade,incredibility,morph,incredibilidade
incredulidade,unbelief,morph,incredulidade
incredível,incredible,morph,incredível
incriticável,uncriticable,morph,incriticável
incruentamente,bloodlessly,morph,incruentamente
incruento,bloodless,morph,incruento
incrédulo,unbeliever,morph,incrédulo
incrível,incredible,morph,incrível
inculpabilidade,blamelessness,morph,inculpabilidade
inculpável,blameless,morph,inculpável
incultivável,uncultivable,morph,incultivável
inculto,uncultivated,morph,inculto
incultura,inculturation,morph,incultura
incumpridor,defaulter,morph,incumpridor
incumprimento,non-compliance,morph,incumprimento
incumprir,fail to comply,morph,incumprir
incumprível,unfulfillable,morph,incumprível
incurabilidade,incurability,morph,incurabilidade
incurável,incurable,morph,incurável
incómodo,inconvenience,morph,incómodo
incômodo,nuisance,morph,incômodo
incôngruo,incongruous,morph,incôngruo
incônscio,unconscious,morph,incônscio
indecente,indecent,morph,indecente
indecentemente,indecently,morph,indecentemente
indecidibilidade,undecidability,morph,indecidibilidade
indecidido,undecided,morph,indecider
indecidível,undecidable,morph,indecidível
indecifrável,indecipherable,morph,indecifrável
indeciso,undecided,morph,indeciso
indecisão,indecision,morph,indecisão
indeclinável,indeclinable,morph,indeclinável
indecomponível,indecomposable,morph,indecomponível
indecoro,impropriety,morph,indecoro
